,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_listings_count,property_type,room_type,accommodates,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,instant_bookable
71,3501,within a day,40,67,1,tent,Entire home/apt,4,3,246,3,365,69,20,Not Available
72,3573,within a day,40,68,1,studio apartment,Entire home/apt,2,1,151,2,30,0,41,Available
73,3464,within a few hours,100,73,1,cottage,Private room,3,2,99,3,50,209,168,Not Available
74,3459,within a day,40,100,2,villa,Private room,2,1,245,2,760,344,10,Available
75,3454,within an hour,100,100,1,chalet,Entire home/apt,2,1,92,3,21,0,132,Available
76,3443,within a day,40,68,1,tent,Entire home/apt,4,2,125,14,60,0,16,Not Available
77,3477,within a day,40,100,2,chalet,Entire home/apt,4,3,215,2,180,97,104,Not Available
78,3423,within a day,58,68,2,tent,Entire home/apt,4,2,145,30,365,1,21,Not Available
79,3422,within a day,40,92,1,cabin,Private room,2,0,122,2,365,360,343,Not Available
80,3418,within a day,40,68,1,bunglow,Entire home/apt,2,1,79,4,50,0,102,Available
81,3417,within a day,40,68,1,tent,Entire home/apt,2,2,449,1,1125,179,13,Available
82,3416,within a day,40,68,1,tent,Entire home/apt,4,2,385,4,30,365,11,Available
83,3413,within a day,40,100,1,condo,Private room,2,1,149,2,21,344,81,Available
84,3412,within a day,40,68,1,cabin,Entire home/apt,2,1,296,3,30,347,49,Available
85,3410,within an hour,100,85,2,cabin,Private room,4,2,125,2,365,355,90,Available
86,3408,within a day,40,68,1,cabin,Entire home/apt,5,6,250,5,30,0,7,Not Available
87,3406,within a day,40,68,1,tent,Entire home/apt,4,1,8000,30,30,365,8,Available
88,3401,within a day,40,100,1,bunglow,Private room,2,1,88,3,30,0,113,Available
89,3397,within a day,40,68,1,condo,Entire home/apt,2,1,85,2,21,9,22,Available
90,3390,within an hour,100,100,1,tent,Private room,2,1,45,3,30,7,220,Not Available
91,3387,within a day,40,68,1,cabin,Entire home/apt,2,1,145,5,30,0,6,Available
92,3384,within a day,40,68,1,tent,Entire home/apt,2,1,125,2,15,89,43,Available
93,3380,within a day,40,68,2,villa,Entire home/apt,2,1,125,4,760,0,20,Available
94,3373,within a day,40,68,1,tent,Entire home/apt,3,3,116,10,365,0,3,Not Available
95,3379,within a day,40,50,1,tent,Entire home/apt,12,12,650,2,90,269,109,Not Available
96,3451,within a day,80,25,1,chalet,Entire home/apt,4,1,95,4,28,347,1,Available
97,3367,within an hour,100,100,2,studio apartment,Private room,2,1,78,3,365,306,280,Not Available
